"松山機場","2019-12-12 13",313,384
"松山機場","2019-12-12 14",345,262
"松山機場","2019-12-12 15",281,319
"松山機場","2019-12-12 16",342,434
"松山機場","2019-12-12 17",611,538
"松山機場","2019-12-12 18",762,552
"松山機場","2019-12-12 19",583,321
"松山機場","2019-12-12 20",443,230
"松山機場","2019-12-12 21",319,209
"松山機場","2019-12-12 22",228,121
"松山機場","2019-12-12 23",55,24
"松山機場","2019-12-13 00",25,12
"松山機場","2019-12-13 01",1,0
"松山機場","2019-12-13 05",0,0
"松山機場","2019-12-13 06",49,187
"松山機場","2019-12-13 07",288,380
"松山機場","2019-12-13 08",428,814
"松山機場","2019-12-13 09",362,386
"松山機場","2019-12-13 10",368,362
"松山機場","2019-12-13 11",374,330
"松山機場","2019-12-13 12",443,372
"松山機場","2019-12-13 13",349,428
"松山機場","2019-12-13 14",491,345
"松山機場","2019-12-13 15",349,442
"松山機場","2019-12-13 16",404,559
"松山機場","2019-12-13 17",627,552
"松山機場","2019-12-13 18",995,576
"松山機場","2019-12-13 19",560,332
"松山機場","2019-12-13 20",363,211
"松山機場","2019-12-13 21",363,243
"松山機場","2019-12-13 22",361,169
"松山機場","2019-12-13 23",105,48
"松山機場","2019-12-14 00",21,9
"松山機場","2019-12-14 01",0,0
"松山機場","2019-12-14 05",0,0
"松山機場","2019-12-14 06",22,145
"松山機場","2019-12-14 07",61,271
"松山機場","2019-12-14 08",134,256
"松山機場","2019-12-14 09",237,263
"松山機場","2019-12-14 10",346,345
"松山機場","2019-12-14 11",476,393
"松山機場","2019-12-14 12",419,390
"松山機場","2019-12-14 13",421,400
"松山機場","2019-12-14 14",504,345
"松山機場","2019-12-14 15",403,373
"松山機場","2019-12-14 16",445,458
"松山機場","2019-12-14 17",476,318
"松山機場","2019-12-14 18",420,260
"松山機場","2019-12-14 19",260,140
"松山機場","2019-12-14 20",249,165
"松山機場","2019-12-14 21",265,179
"松山機場","2019-12-14 22",204,147
"松山機場","2019-12-14 23",73,49
"松山機場","2019-12-15 00",6,6
"松山機場","2019-12-15 01",0,0
"松山機場","2019-12-15 05",3,9
"松山機場","2019-12-15 06",17,139
"松山機場","2019-12-15 07",60,236
"松山機場","2019-12-15 08",137,277
"松山機場","2019-12-15 09",229,300
"松山機場","2019-12-15 10",272,314
"松山機場","2019-12-15 11",385,415
"松山機場","2019-12-15 12",396,392
"松山機場","2019-12-15 13",419,446
"松山機場","2019-12-15 14",382,452
"松山機場","2019-12-15 15",382,414
"松山機場","2019-12-15 16",469,439
"松山機場","2019-12-15 17",465,412
"松山機場","2019-12-15 18",386,282
"松山機場","2019-12-15 19",310,185
"松山機場","2019-12-15 20",339,145
"松山機場","2019-12-15 21",240,145
"松山機場","2019-12-15 22",236,113
"松山機場","2019-12-15 23",63,26
"松山機場","2019-12-16 00",10,3
"松山機場","2019-12-16 01",0,0
"松山機場","2019-12-16 05",0,0
"松山機場","2019-12-16 06",43,206
"松山機場","2019-12-16 07",291,466
"松山機場","2019-12-16 08",409,805
"松山機場","2019-12-16 09",367,370
"松山機場","2019-12-16 10",238,323
"松山機場","2019-12-16 11",328,354
"松山機場","2019-12-16 12",281,327
"松山機場","2019-12-16 13",359,322
"松山機場","2019-12-16 14",340,334
"松山機場","2019-12-16 15",322,324
"松山機場","2019-12-16 16",373,335
"松山機場","2019-12-16 17",514,426
"松山機場","2019-12-16 18",737,454
"松山機場","2019-12-16 19",443,306
"松山機場","2019-12-16 20",287,194
"松山機場","2019-12-16 21",271,179
"松山機場","2019-12-16 22",161,137
"松山機場","2019-12-16 23",44,31
"松山機場","2019-12-17 00",16,6
"松山機場","2019-12-17 01",0,0
"松山機場","2019-12-17 05",0,0
"松山機場","2019-12-17 06",52,189
"松山機場","2019-12-17 07",261,371
"松山機場","2019-12-17 08",435,768
"松山機場","2019-12-17 09",371,469
"松山機場","2019-12-17 10",264,295
"松山機場","2019-12-17 11",274,305
"松山機場","2019-12-17 12",272,335
"松山機場","2019-12-17 13",293,308
"松山機場","2019-12-17 14",391,271
"松山機場","2019-12-17 15",299,299
"松山機場","2019-12-17 16",318,359
"松山機場","2019-12-17 17",461,457
"松山機場","2019-12-17 18",705,421
"松山機場","2019-12-17 19",398,259
"松山機場","2019-12-17 20",245,215
"松山機場","2019-12-17 21",274,218
"松山機場","2019-12-17 22",154,144
"松山機場","2019-12-17 23",44,22
"松山機場","2019-12-18 00",26,4
"松山機場","2019-12-18 01",0,0
"松山機場","2019-12-18 05",0,0
"松山機場","2019-12-18 06",48,232
"松山機場","2019-12-18 07",300,363
"松山機場","2019-12-18 08",462,771
"松山機場","2019-12-18 09",356,362
"松山機場","2019-12-18 10",209,259
"松山機場","2019-12-18 11",268,306
"松山機場","2019-12-18 12",286,368
"松山機場","2019-12-18 13",245,331
"松山機場","2019-12-18 14",353,315
"松山機場","2019-12-18 15",296,306
"松山機場","2019-12-18 16",349,303
"松山機場","2019-12-18 17",491,414
"松山機場","2019-12-18 18",738,497
"松山機場","2019-12-18 19",452,315
"松山機場","2019-12-18 20",309,223
"松山機場","2019-12-18 21",237,204
"松山機場","2019-12-18 22",191,132
"松山機場","2019-12-18 23",73,28
"松山機場","2019-12-19 00",17,9
"松山機場","2019-12-19 01",0,0
"松山機場","2019-12-19 05",0,0
"松山機場","2019-12-19 06",49,211
"松山機場","2019-12-19 07",293,407
"松山機場","2019-12-19 08",463,750
"松山機場","2019-12-19 09",367,345
"松山機場","2019-12-19 10",211,303
"松山機場","2019-12-19 11",291,310
"松山機場","2019-12-19 12",314,296
"松山機場","2019-12-19 13",342,377
"松山機場","2019-12-19 14",361,337
"松山機場","2019-12-19 15",301,290
"松山機場","2019-12-19 16",331,359
"松山機場","2019-12-19 17",498,411
"松山機場","2019-12-19 18",766,510
"松山機場","2019-12-19 19",541,309
"松山機場","2019-12-19 20",279,224
"松山機場","2019-12-19 21",327,208
"松山機場","2019-12-19 22",207,135
"松山機場","2019-12-19 23",69,43
"松山機場","2019-12-20 00",21,13
"松山機場","2019-12-20 01",0,0
"松山機場","2019-12-20 05",0,0
"松山機場","2019-12-20 06",53,228
"松山機場","2019-12-20 07",281,396
"松山機場","2019-12-20 08",415,752
"松山機場","2019-12-20 09",366,454
"松山機場","2019-12-20 10",311,259
"松山機場","2019-12-20 11",411,295
"松山機場","2019-12-20 12",373,354
"松山機場","2019-12-20 13",334,414
"松山機場","2019-12-20 14",456,342
"松山機場","2019-12-20 15",375,333
"松山機場","2019-12-20 16",393,474
"松山機場","2019-12-20 17",662,540
"松山機場","2019-12-20 18",817,501
"松山機場","2019-12-20 19",602,287
"松山機場","2019-12-20 20",333,230
"松山機場","2019-12-20 21",269,261
"松山機場","2019-12-20 22",329,213
"松山機場","2019-12-20 23",150,41
"松山機場","2019-12-21 00",22,11
"松山機場","2019-12-21 01",1,0
"松山機場","2019-12-21 05",0,0
"松山機場","2019-12-21 06",26,159
"松山機場","2019-12-21 07",129,205
"松山機場","2019-12-21 08",135,229
"松山機場","2019-12-21 09",209,239
"松山機場","2019-12-21 10",206,304
"松山機場","2019-12-21 11",327,341
"松山機場","2019-12-21 12",299,365
"松山機場","2019-12-21 13",387,433
"松山機場","2019-12-21 14",465,360
"松山機場","2019-12-21 15",361,287
"松山機場","2019-12-21 16",368,398
"松山機場","2019-12-21 17",463,357
"松山機場","2019-12-21 18",430,205
"松山機場","2019-12-21 19",260,152
"松山機場","2019-12-21 20",231,124
"松山機場","2019-12-21 21",221,174
"松山機場","2019-12-21 22",176,134
"松山機場","2019-12-21 23",56,30
"松山機場","2019-12-22 00",13,4
"松山機場","2019-12-22 01",1,0
"松山機場","2019-12-22 05",0,0
"松山機場","2019-12-22 06",22,150
"松山機場","2019-12-22 07",57,219
"松山機場","2019-12-22 08",102,208
"松山機場","2019-12-22 09",157,261
"松山機場","2019-12-22 10",203,290
"松山機場","2019-12-22 11",320,360
"松山機場","2019-12-22 12",347,412
"松山機場","2019-12-22 13",371,442
"松山機場","2019-12-22 14",408,450
"松山機場","2019-12-22 15",328,382
"松山機場","2019-12-22 16",464,396
"松山機場","2019-12-22 17",420,365
